# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
Sitamarhi,1255983,34,Bihar,67818,26.593570,85.490600
Sitamau,1255981,35,Madhya Pradesh,14056,24.014730,75.353240
Sitapur_Chhattisgarh,12519091,37,Chhattisgarh,9361,22.780720,83.495450
Sitapur_Uttar_Pradesh,1255969,36,Uttar Pradesh,164435,27.561920,80.682650
Sitarganj,1255963,39,Uttarakhand,24225,28.929300,79.704360
Sithurajapuram,11184427,25,Tamil Nadu,16860,9.421370,77.787320
Siuliban,13353437,38,Jharkhand,24202,23.748600,86.784770
Siuri,1255955,28,West Bengal,64659,23.908060,87.527730
Sivaganga,1255953,25,Tamil Nadu,42785,9.847010,78.483580
Sivagiri_Tamil_Nadu,1255951,25,Tamil Nadu,23040,9.344610,77.429110
Sivagirippatti,11661417,25,Tamil Nadu,17306,10.450150,77.530350
Sivakasi,1255947,25,Tamil Nadu,234704,9.449990,77.797970
Sivandipuram,11655374,25,Tamil Nadu,14281,8.706670,77.400050
Sivar,10641483,16,Maharashtra,6047,20.691690,77.051020
Sivni,1255939,16,Maharashtra,13699,20.688030,77.048860
Sivunipalli,10481199,40,Telangana,6242,17.844150,79.382240
Siwan,1255927,34,Bihar,135066,26.220960,84.356090
Siwana,1255925,24,Rajasthan,22067,25.651540,72.422430
Siwani,1256773,10,Haryana,19143,28.909090,75.614690
Soalkuchi,1255910,03,Assam,13917,26.168060,91.571110
Soanpeta,1255909,40,Telangana,6820,18.969950,78.356270
Sogam,1255891,12,Jammu and Kashmir,10166,34.501370,74.382280
Sohagi,1255887,35,Madhya Pradesh,9009,24.981810,81.695580
Sohagpur,1255884,35,Madhya Pradesh,25040,22.700550,78.195220
Sohana,1255878,23,Punjab,9306,30.688710,76.706590
Sohela,1255872,21,Odisha,6917,21.301530,83.397970
Sohna,1255870,10,Haryana,36552,28.247370,77.065440
Sojat,1255860,24,Rajasthan,43023,25.924930,73.666330
Sojitra,1255858,09,Gujarat,19403,22.538840,72.719840
Solakut,10002779,12,Jammu and Kashmir,3973,34.539090,74.255290
Solan,1255850,11,Himachal Pradesh,40283,30.909080,77.108690
Solap,1349047,28,West Bengal,13751,22.127780,88.158610
Solim,1255844,33,Goa,10936,15.615210,73.767400
Solsumba,13157129,09,Gujarat,18796,20.157490,72.789130
Somampalaiyam,11461651,25,Tamil Nadu,14787,11.048430,76.897300
Somandepalle,10849677,02,Andhra Pradesh,18895,14.007740,77.608460
Someshvara,10846361,19,Karnataka,24066,12.803510,74.864720
Someshwar,1255823,19,Karnataka,22137,13.491120,75.066460
Sompeta,1255816,02,Andhra Pradesh,18778,18.944190,84.584490
Somvarpet,1255811,19,Karnataka,7227,12.596980,75.849570
Sonamukhi,1255792,28,West Bengal,28334,23.305210,87.413360
Sonamura,1255791,26,Tripura,11285,23.475470,91.265900
Sonari_Assam,1255788,03,Assam,19810,27.024620,95.016290
Sonegaon_Maharashtra,1255766,16,Maharashtra,12614,20.629150,78.692070
Sonepur_Bihar,10400293,34,Bihar,37776,25.696080,85.166690
Sonepur_Odisha,1255763,21,Odisha,20770,20.833330,83.916670
Songadh,1255762,09,Gujarat,26515,21.169660,73.563570
Sonipat,1255744,10,Haryana,289333,28.994780,77.019370
Sonkach,1255743,35,Madhya Pradesh,16545,22.971660,76.346670
Sonpet,1255764,16,Maharashtra,15765,19.025940,76.473940
Soolakkarai,13494622,25,Tamil Nadu,4990,9.536000,77.950550
Sopur,1255714,12,Jammu and Kashmir,71292,34.286710,74.472280
Sorab,1255713,19,Karnataka,11332,14.381440,75.091830
Sorada,1255712,21,Odisha,15117,19.760820,84.429970
Sorala,1255710,21,Odisha,8258,19.130840,84.750890
Sorbhog,1255708,03,Assam,7614,26.486120,90.885900
Soro,1255705,21,Odisha,32531,21.278510,86.688330
Soron,1255704,36,Uttar Pradesh,28683,27.890550,78.746210
South Kannanur,13494682,25,Tamil Nadu,13073,10.919380,78.740120
Soyagaon,10688581,16,Maharashtra,34341,20.552500,74.506870
Soyatkalan,8740796,35,Madhya Pradesh,14781,24.188600,76.177800
Soygaon,1255667,16,Maharashtra,23320,20.596060,75.617650
