# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
Balaghat,21.815600,80.188450
Balagunda,22.100000,85.366670
Balakrishnanpatti,11.238880,78.485800
Balakrishnapuram,10.359090,78.002610
Balangir,20.704190,83.490290
Balapur_Maharashtra,20.666120,76.773860
Balapur_Telangana,17.310180,78.499690
Balarampur,23.097140,86.222920
Balasamudram,10.419050,77.499160
Balasore,21.492660,86.933480
Balaungi,30.730580,76.693680
Baldeogarh,24.756190,79.067150
Baldeopur,28.655730,79.857370
Baldev,27.406840,77.822140
Bali Chak,22.364820,87.553040
Bali Koria,26.439300,91.422470
Bali_Rajasthan,25.197250,73.291170
Bali_West_Bengal,22.648590,88.341150
Baliapur,23.722490,86.525950
Baliguda,20.199660,83.909380
Balimila,18.251670,82.106590
Balipatapur,19.935630,85.496770
Balirampur,19.120820,77.339430
Balitha,20.389260,72.913480
Baliyasan,23.460610,72.388240
Balkudra,23.647270,85.315990
Ballari,15.142050,76.923980
Ballarpur,19.846960,79.345780
Ballia,25.421390,86.314450
Balod,20.730810,81.205780
Baloda,22.138900,82.481710
Baloda Bazar,21.656780,82.160620
Balotra,25.832420,72.240000
Balrampur_Chhattisgarh,23.612190,83.611150
Balrampur_Uttar_Pradesh,27.429490,82.185450
Balria,24.354360,73.735000
Balugan,19.733330,85.216670
Balugaon,20.178380,85.113270
Balurghat,25.220990,88.777320
Balussheri,11.447380,75.829440
Bamaur,26.338950,78.101040
Bambolim,15.463610,73.853100
Bamboo Flat,11.700000,92.716670
Bamhni,22.482210,80.371570
Bamna,23.094540,74.761640
Bamor Kalan,24.892980,78.151050
Bamora,24.055390,78.089250
Bamun Sualkuchi,26.168260,91.581720
Banapur,19.778890,85.170330
Banasthali,26.404040,75.869580
Banat,29.463550,77.354780
Banavar,13.410290,76.163140
Banbasa,28.991320,80.076080
Banda_Madhya_Pradesh,24.044880,78.960940
Banda_Maharashtra,15.811810,73.861180
Banda_Uttar_Pradesh,25.477580,80.334910
Bandarulanka,16.582820,81.961670
Bandbahal,21.749410,83.877570
Bandh Dih,23.658770,86.017260
Bandhgora,23.621390,86.146640
Bandikui,27.050870,76.573250
Bandipura,34.417280,74.643080
Bandlaguda,17.351120,78.391180
Bandora,15.408230,73.981290
Banga,31.188740,75.994950
Banganapalle,15.317710,78.226690
Bangaon_Assam,26.416670,91.333330
Bangaon_Bihar,25.867280,86.511520
Bangaon_West_Bengal,23.045530,88.830840
Bangarapet,12.991160,78.178040
Bangarda,22.759200,75.795360
Bangarda Chhota,22.743540,75.814480
Bangarmau,26.891200,80.211490
Bangawan,23.192590,82.127200
Bangomunda,20.343020,82.911360
Bangramanjeshvara,12.708940,74.894700
Banihal,33.436470,75.196840
Banjar,31.639000,77.340550
Bank,22.702960,75.803900
Banka,24.880910,86.922570
Bankapur,14.922950,75.262210
Banki,20.379120,85.529530
Bankimnagar,23.818660,91.431320
Bankner,28.852520,77.078690
Bankoli,28.812040,77.141230
Bankra,22.602910,88.277510
Bankura,23.232410,87.071600
Banmankhi,25.888570,87.194210
Banmankhi Bazar,25.887610,87.193560
Bannur,12.332950,76.862010
Banposh,22.248340,84.810440
Bansatarkheda,23.791920,79.338960
Bansbaria,22.953870,88.400980
Bansdih_Bihar,25.978810,85.924610
Bansdih_Uttar_Pradesh,25.883770,84.218270
Bansgaon,26.550320,83.345030
Bansi,27.177490,82.934420
Banskhoh,26.830890,76.152050
Banswada,18.377250,77.880070
Banswara,23.541090,74.442500
Bantva,21.488150,70.075760
Bantval,12.890500,75.034890
Banur,30.554070,76.719480
Baola,22.828440,72.363640
Baonli,26.326110,76.228290
Bapatla,15.904220,80.467430
Baprola,28.641330,77.014150
Baqiabad,28.732500,77.246880
Bar,23.162760,73.422700
Bar Bigha,25.218550,85.733200
Bara,24.805790,84.789910
Bara Bazar,22.566670,88.350000
Bara Uchana,29.467470,76.177980
Baragaon_Madhya_Pradesh,24.568180,79.018520
Baragaon_Uttar_Pradesh,25.429360,82.817090
Barajamda,22.164900,85.427240
Barakpur,22.766020,88.363360
Baral,25.918470,74.629390
Baralota,24.040170,84.080650
Baramati,18.151740,74.577670
Baramkela,21.564940,83.261140
Baramula,34.209000,74.342850
Baran,25.100000,76.516670
Baranagar,22.641320,88.377270
Barara,30.214650,77.040250
Barasat,22.721540,88.481980
Barauda,23.557530,75.248940
Barauli,26.381090,84.586480
Barauni_Bihar,25.470900,85.976000
Barauni_Madhya_Pradesh,25.685140,78.375370
Baraut,29.101990,77.263340
Barbari (AMC Area),27.491400,94.932530
Barbigha,25.216700,85.733300
Barbil,22.101940,85.377520
Barddhaman,23.255720,87.856910
Bardol,21.381890,83.593880
Bardoli,21.122970,73.111510
Bardubhi,23.731530,86.346700
Bare,12.445990,75.042020
Bareilly,28.366780,79.431670
Bareja,22.848630,72.591370
Barela,23.096780,80.050840
Bareli,23.004450,78.230100
Bareta,29.863520,75.696440
Bargaon,24.632390,73.682580
Bargarh,21.333480,83.619050
Bargawan,23.319420,85.390150
Barghat,22.030650,79.732800
Bargi,22.991380,79.875500
Bargur,12.542880,78.357350
Barh,25.483390,85.709280
Barhagarh,19.645030,84.407910
Barharwa,24.857110,87.778960
Barhi Majra,30.114060,77.305470
Barhi_Jharkhand,24.303650,85.414190
Barhi_Madhya_Pradesh,23.903260,80.815160
Barhiya,25.288140,86.020550
Bari,26.646610,77.616340
Bari Sadri,24.413390,74.473310
Bariarpur,25.287910,86.576430
Barigarh,25.232480,80.034660
Barika Chuburi,26.636320,92.808540
Baripada,21.934580,86.728520
Bariyar,32.063540,75.435200
Barjala,23.618200,91.355960
Barjora,23.427540,87.290370
Barka Kana,23.621180,85.467480
Barkhera Kalan,28.452090,79.806550
Barki Saria,24.175940,85.889380
